Race/Ethnicity,No. Cases,Percent Cases,No. Deaths,Percent Deaths,Percent CA Population
Latino,"38,044",72.9,2,66.7,47.9
White,"4,579",8.8,0,0,29.2
Asian,"1,426",2.7,1,33.3,12.7
African American,"1,364",2.6,0,0,5.4
Multi-Race,476,0.9,0,0,4
American Indian,129,0.2,0,0,0.4
Native Hawaiian and other Pacific Islander,164,0.3,0,0,0.3
Other,"5,976",11.5,0,0,0
