Deaths by Sex - All Age Groups
Date generated: Tue Sep 08 2020 14:19:43 GMT-0600 (Mountain Daylight Time)

Sex,Percentage,Count
Female,46,63790 - 63799
Male,54,74840 - 74849
Other,<0.1,0 - 9
