Deaths by Race/Ethnicity - All Age Groups
Date generated: Tue Sep 08 2020 14:20:46 GMT-0600 (Mountain Daylight Time)

Race/Ethnicity,Percentage,Count
Hispanic/Latino,16.7,19159
American Indian / Alaska Native Non-Hispanic,0.8,888
Asian Non-Hispanic,5,5749
Black Non-Hispanic,21.9,25148
Native Hawaiian / Other Pacific Islander Non-Hispanic,0.2,173
White Non-Hispanic,51.2,58693
Multiple/Other Non-Hispanic,4.3,4900
