Deaths by Age Group
Date generated: Tue Sep 08 2020 14:19:40 GMT-0600 (Mountain Daylight Time)

Age Group,Percentage,Count
0 - 4 Years,<0.1,33
5 - 17 Years,<0.1,50
18 - 29 Years,0.5,719
30 - 39 Years,1.3,1882
40 - 49 Years,3.2,4508
50 - 64 Years,15.7,21913
65 - 74 Years,21.2,29582
75 - 84 Years,26.4,36836
85+ Years,31.6,44216
