Cases by Sex - All Age Groups
Date generated: Mon Sep 07 2020 19:43:53 GMT-0600 (Mountain Daylight Time)

Sex,Percentage,Count
Female,51.8,2364576
Male,48.2,2204640
Other,<0.1,105
