Race/Ethnicity,No. Cases,Percent Cases,No. Deaths,Percent Deaths,Percent CA population
Latino,"299,981",60.5,"6,501",48.5,38.9
White,"83,745",16.9,"3,952",29.5,36.6
Asian,"27,060",5.5,"1,575",11.7,15.4
African American,"21,216",4.3,"1,035",7.7,6
Multi-Race,"4,789",1,87,0.6,2.2
American Indian or Alaska Native,"1,232",0.2,39,0.3,0.5
Native Hawaiian and other Pacific Islander,"2,758",0.6,58,0.4,0.3
Other,"55,265",11.1,162,1.2,0
Total with data,"496,046",100,"13,409",100,100
